Country Name,Code,income,education,GDP growth,GDP,gini,gni,educational expenditure,inflation,elderly,population density,undernourishment,unemployment
,,Adjusted net national income per capita (constant 2015 US$),"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",GDP per capita growth (annual %),"GDP per capita, PPP (current international $)",Gini index,"GNI, PPP (current international $)","Government expenditure on education, total (% of government expenditure)","Inflation, consumer prices (annual %)",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),"Unemployment, total (% of total labor force) (national estimate)"
Ireland,IRL,39491.46465,..,3.491900991,87379.69297,..,3.35E+11,..,0.939044481,14.22283075,71.62636087,2.5,4.949999809
Isle of Man,IMN,..,..,-0.356701749,..,..,..,..,..,..,148.4017544,..,..
Israel,ISR,34180.73527,..,1.811358909,40004.03051,..,3.60E+11,..,0.844128709,12.20867441,418.3918669,2.5,3.799999952
Italy,ITA,26887.67883,..,1.665736551,44376.1625,..,2.67E+12,..,0.611246944,23.01213665,201.9805456,2.5,9.949999809
Jamaica,JAM,4625.256016,..,0.432912117,10189.6402,..,29198697232,17.31398964,3.905100009,8.922391673,272.23241,7.5,4.989999771
Japan,JPN,28165.20221,..,-0.100125011,42282.55089,..,5.56E+12,..,0.468776159,28.00204928,347.4156379,2.8,2.349999905
Jordan,JOR,3913.161277,..,0.579046463,10496.43835,..,1.06E+11,9.859749794,0.761514047,3.893416292,113.765536,14.6,16.79999924
Kazakhstan,KAZ,8253.033939,..,3.16101154,27463.97155,..,4.45E+11,14.10953045,5.245476796,7.652343941,6.85767789,2.5,4.800000191
Kenya,KEN,1320.780917,..,2.752123824,4647.409761,..,2.40E+11,..,5.235859994,2.42382671,92.37440173,25.6,5.010000229
Kiribati,KIR,..,..,-2.033114973,2191.529089,27.8,540111928.5,12.39466,-1.813079953,4.082274714,145.1950617,4,..
"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,9.25808889,213.1563658,43,..
"Korea, Rep.",KOR,25086.50599,..,1.8889146,42998.38824,..,2.25E+12,..,0.383000304,15.0601769,530.3772746,2.5,3.75
Kosovo,XKX,..,..,5.237433159,11796.15331,..,21582207330,..,2.675992026,..,..,..,25.06999969
Kuwait,KWT,28921.9718,..,-2.201036228,52054.71258,..,2.48E+11,12.82629967,1.091848027,2.763838983,236.0873737,2.5,..
Kyrgyz Republic,KGZ,997.1578239,..,2.439335207,5480.293907,29.7,32273625655,16.47274971,1.133622577,4.600294583,33.66110532,5.2,4.25
Lao PDR,LAO,..,..,3.869747641,8219.505763,..,55519349514,..,3.322558813,4.163984571,31.06350087,5.4,..
Latvia,LVA,12924.70354,48.33951187,3.199320082,31883.25911,34.5,60106254156,..,2.811409201,20.336511,30.75549199,2.5,6.309999943
Lebanon,LBN,5787.547405,..,-6.864701136,15105.05921,..,1.01E+11,8.143950462,3.005389494,7.273291633,670.1572825,9,11.30000019
Lesotho,LSO,1019.003238,..,1.585560805,2768.216136,..,6663563244,13.13586044,5.187083592,4.925825825,70.00220685,31.2,16.87999916
Liberia,LBR,..,..,-4.806127324,1531.794745,..,6757067307,..,..,3.285693974,51.26011213,39.2,..
Libya,LBY,..,..,-12.49141441,22764.47805,..,1.56E+11,..,..,4.458238878,3.851832297,..,..
Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,237.625,..,..
Lithuania,LTU,14584.15025,..,4.850949754,38540.78145,35.3,1.04E+11,..,2.33450938,20.15841271,44.6205206,2.5,6.260000229
Luxembourg,LUX,57006.54441,..,1.276272647,117341.9151,34.2,48164494691,..,1.743320757,14.27494888,240.827591,2.5,5.590000153
"Macao SAR, China",MAC,..,..,-3.853485682,132644.0343,..,75349339862,16.59794998,2.751930811,11.21173559,19466.44377,4.6,1.75
